person_id,site_id,pref
MPW0000000272UORBF,ADK0000000364ICFPT,64
ORY0000000196WQTDH,ADK0000000364ICFPT,32
QTA0000000146YSVFJ,ADK0000000364ICFPT,97
TWD0000000123BVYIM,ADK0000000364ICFPT,57
ADK0000000000ICFPT,ADK0000000390ICFPT,35
ADK0000000026ICFPT,ADK0000000390ICFPT,95
ADK0000000052ICFPT,ADK0000000390ICFPT,97
ADK0000000130ICFPT,ADK0000000390ICFPT,49
ADK0000000156ICFPT,ADK0000000390ICFPT,45
ADK0000000234ICFPT,ADK0000000390ICFPT,83
ADK0000000260ICFPT,ADK0000000390ICFPT,40
ADK0000000286ICFPT,ADK0000000390ICFPT,21
ADK0000000312ICFPT,ADK0000000390ICFPT,71
BEL0000000027JDGQU,ADK0000000390ICFPT,96
BEL0000000053JDGQU,ADK0000000390ICFPT,57
BEL0000000131JDGQU,ADK0000000390ICFPT,95
BEL0000000157JDGQU,ADK0000000390ICFPT,96
BEL0000000183JDGQU,ADK0000000390ICFPT,86
BEL0000000209JDGQU,ADK0000000390ICFPT,48
BEL0000000235JDGQU,ADK0000000390ICFPT,74
CFM0000000002KEHRV,ADK0000000390ICFPT,39
CFM0000000028KEHRV,ADK0000000390ICFPT,15
CFM0000000106KEHRV,ADK0000000390ICFPT,83
CFM0000000158KEHRV,ADK0000000390ICFPT,84
CFM0000000184KEHRV,ADK0000000390ICFPT,47
CFM0000000210KEHRV,ADK0000000390ICFPT,71
CFM0000000288KEHRV,ADK0000000390ICFPT,48
DGN0000000003LFISW,ADK0000000390ICFPT,96
DGN0000000029LFISW,ADK0000000390ICFPT,21
DGN0000000107LFISW,ADK0000000390ICFPT,3
DGN0000000133LFISW,ADK0000000390ICFPT,78
DGN0000000237LFISW,ADK0000000390ICFPT,50
DGN0000000263LFISW,ADK0000000390ICFPT,17
DGN0000000289LFISW,ADK0000000390ICFPT,15
DGN0000000315LFISW,ADK0000000390ICFPT,43
EHO0000000056MGJTX,ADK0000000390ICFPT,25
EHO0000000108MGJTX,ADK0000000390ICFPT,81
EHO0000000134MGJTX,ADK0000000390ICFPT,55
EHO0000000160MGJTX,ADK0000000390ICFPT,91
EHO0000000212MGJTX,ADK0000000390ICFPT,62
FIP0000000005NHKUY,ADK0000000390ICFPT,59
FIP0000000213NHKUY,ADK0000000390ICFPT,35
FIP0000000239NHKUY,ADK0000000390ICFPT,95
FIP0000000291NHKUY,ADK0000000390ICFPT,93
GJQ0000000110OILVZ,ADK0000000390ICFPT,10
GJQ0000000162OILVZ,ADK0000000390ICFPT,55
GJQ0000000188OILVZ,ADK0000000390ICFPT,67
GJQ0000000214OILVZ,ADK0000000390ICFPT,78
GJQ0000000318OILVZ,ADK0000000390ICFPT,85
HKR0000000033PJMWA,ADK0000000390ICFPT,48
HKR0000000163PJMWA,ADK0000000390ICFPT,64
HKR0000000189PJMWA,ADK0000000390ICFPT,51
HKR0000000241PJMWA,ADK0000000390ICFPT,87
HKR0000000293PJMWA,ADK0000000390ICFPT,6
ILS0000000008QKNXB,ADK0000000390ICFPT,77
ILS0000000060QKNXB,ADK0000000390ICFPT,82
ILS0000000164QKNXB,ADK0000000390ICFPT,9
ILS0000000320QKNXB,ADK0000000390ICFPT,61
JMT0000000009RLOYC,ADK0000000390ICFPT,42
JMT0000000035RLOYC,ADK0000000390ICFPT,22
JMT0000000139RLOYC,ADK0000000390ICFPT,60
JMT0000000217RLOYC,ADK0000000390ICFPT,6
JMT0000000243RLOYC,ADK0000000390ICFPT,52
JMT0000000269RLOYC,ADK0000000390ICFPT,6
JMT0000000295RLOYC,ADK0000000390ICFPT,66
JMT0000000321RLOYC,ADK0000000390ICFPT,96
KNU0000000036SMPZD,ADK0000000390ICFPT,9
KNU0000000088SMPZD,ADK0000000390ICFPT,93
KNU0000000114SMPZD,ADK0000000390ICFPT,55
KNU0000000140SMPZD,ADK0000000390ICFPT,53
KNU0000000192SMPZD,ADK0000000390ICFPT,58
KNU0000000244SMPZD,ADK0000000390ICFPT,53
KNU0000000270SMPZD,ADK0000000390ICFPT,70
LOV0000000037TNQAE,ADK0000000390ICFPT,43
LOV0000000063TNQAE,ADK0000000390ICFPT,93
LOV0000000089TNQAE,ADK0000000390ICFPT,98
LOV0000000141TNQAE,ADK0000000390ICFPT,82
LOV0000000167TNQAE,ADK0000000390ICFPT,21
LOV0000000297TNQAE,ADK0000000390ICFPT,66
LOV0000000323TNQAE,ADK0000000390ICFPT,65
MPW0000000012UORBF,ADK0000000390ICFPT,96
MPW0000000038UORBF,ADK0000000390ICFPT,89
MPW0000000142UORBF,ADK0000000390ICFPT,64
NQX0000000013VPSCG,ADK0000000390ICFPT,69
NQX0000000065VPSCG,ADK0000000390ICFPT,12
NQX0000000091VPSCG,ADK0000000390ICFPT,37
NQX0000000117VPSCG,ADK0000000390ICFPT,78
NQX0000000195VPSCG,ADK0000000390ICFPT,75
NQX0000000273VPSCG,ADK0000000390ICFPT,35
ORY0000000066WQTDH,ADK0000000390ICFPT,86
ORY0000000118WQTDH,ADK0000000390ICFPT,79
ORY0000000144WQTDH,ADK0000000390ICFPT,45
ORY0000000222WQTDH,ADK0000000390ICFPT,90
ORY0000000248WQTDH,ADK0000000390ICFPT,1
ORY0000000274WQTDH,ADK0000000390ICFPT,38
ORY0000000300WQTDH,ADK0000000390ICFPT,64
ORY0000000326WQTDH,ADK0000000390ICFPT,41
PSZ0000000015XRUEI,ADK0000000390ICFPT,10
PSZ0000000041XRUEI,ADK0000000390ICFPT,45
PSZ0000000093XRUEI,ADK0000000390ICFPT,22
PSZ0000000223XRUEI,ADK0000000390ICFPT,27
PSZ0000000249XRUEI,ADK0000000390ICFPT,92
PSZ0000000301XRUEI,ADK0000000390ICFPT,60
QTA0000000042YSVFJ,ADK0000000390ICFPT,28
QTA0000000068YSVFJ,ADK0000000390ICFPT,85
QTA0000000094YSVFJ,ADK0000000390ICFPT,3
QTA0000000120YSVFJ,ADK0000000390ICFPT,76
QTA0000000172YSVFJ,ADK0000000390ICFPT,45
QTA0000000302YSVFJ,ADK0000000390ICFPT,20
RUB0000000043ZTWGK,ADK0000000390ICFPT,48
RUB0000000069ZTWGK,ADK0000000390ICFPT,49
RUB0000000095ZTWGK,ADK0000000390ICFPT,89
RUB0000000121ZTWGK,ADK0000000390ICFPT,41
RUB0000000173ZTWGK,ADK0000000390ICFPT,97
RUB0000000225ZTWGK,ADK0000000390ICFPT,90
SVC0000000018AUXHL,ADK0000000390ICFPT,74
SVC0000000044AUXHL,ADK0000000390ICFPT,7
SVC0000000148AUXHL,ADK0000000390ICFPT,13
SVC0000000278AUXHL,ADK0000000390ICFPT,21
SVC0000000304AUXHL,ADK0000000390ICFPT,13
SVC0000000330AUXHL,ADK0000000390ICFPT,87
TWD0000000045BVYIM,ADK0000000390ICFPT,98
TWD0000000123BVYIM,ADK0000000390ICFPT,84
TWD0000000149BVYIM,ADK0000000390ICFPT,34
TWD0000000175BVYIM,ADK0000000390ICFPT,26
TWD0000000201BVYIM,ADK0000000390ICFPT,29
TWD0000000253BVYIM,ADK0000000390ICFPT,3
UXE0000000046CWZJN,ADK0000000390ICFPT,63
UXE0000000072CWZJN,ADK0000000390ICFPT,86
UXE0000000254CWZJN,ADK0000000390ICFPT,8
UXE0000000306CWZJN,ADK0000000390ICFPT,47
UXE0000000332CWZJN,ADK0000000390ICFPT,81
VYF0000000021DXAKO,ADK0000000390ICFPT,97
VYF0000000099DXAKO,ADK0000000390ICFPT,3
VYF0000000177DXAKO,ADK0000000390ICFPT,52
VYF0000000281DXAKO,ADK0000000390ICFPT,56
VYF0000000307DXAKO,ADK0000000390ICFPT,62
VYF0000000333DXAKO,ADK0000000390ICFPT,50
WZG0000000048EYBLP,ADK0000000390ICFPT,59
WZG0000000074EYBLP,ADK0000000390ICFPT,30
WZG0000000308EYBLP,ADK0000000390ICFPT,72
WZG0000000334EYBLP,ADK0000000390ICFPT,30
XAH0000000075FZCMQ,ADK0000000390ICFPT,15
XAH0000000153FZCMQ,ADK0000000390ICFPT,47
XAH0000000205FZCMQ,ADK0000000390ICFPT,84
XAH0000000257FZCMQ,ADK0000000390ICFPT,40
XAH0000000283FZCMQ,ADK0000000390ICFPT,45
YBI0000000050GADNR,ADK0000000390ICFPT,67
YBI0000000154GADNR,ADK0000000390ICFPT,57
YBI0000000180GADNR,ADK0000000390ICFPT,63
YBI0000000232GADNR,ADK0000000390ICFPT,26
YBI0000000258GADNR,ADK0000000390ICFPT,38
ZCJ0000000051HBEOS,ADK0000000390ICFPT,22
ZCJ0000000181HBEOS,ADK0000000390ICFPT,75
ZCJ0000000233HBEOS,ADK0000000390ICFPT,10
ADK0000000000ICFPT,ADK0000000416ICFPT,70
ADK0000000026ICFPT,ADK0000000416ICFPT,40
ADK0000000052ICFPT,ADK0000000416ICFPT,37
ADK0000000130ICFPT,ADK0000000416ICFPT,33
ADK0000000156ICFPT,ADK0000000416ICFPT,8
ADK0000000234ICFPT,ADK0000000416ICFPT,74
ADK0000000260ICFPT,ADK0000000416ICFPT,62
ADK0000000286ICFPT,ADK0000000416ICFPT,42
ADK0000000312ICFPT,ADK0000000416ICFPT,74
BEL0000000027JDGQU,ADK0000000416ICFPT,35
BEL0000000053JDGQU,ADK0000000416ICFPT,21
BEL0000000131JDGQU,ADK0000000416ICFPT,36
BEL0000000157JDGQU,ADK0000000416ICFPT,1
BEL0000000183JDGQU,ADK0000000416ICFPT,22
BEL0000000209JDGQU,ADK0000000416ICFPT,1
BEL0000000235JDGQU,ADK0000000416ICFPT,90
CFM0000000002KEHRV,ADK0000000416ICFPT,80
CFM0000000028KEHRV,ADK0000000416ICFPT,91
CFM0000000106KEHRV,ADK0000000416ICFPT,100
CFM0000000158KEHRV,ADK0000000416ICFPT,55
CFM0000000184KEHRV,ADK0000000416ICFPT,86
CFM0000000210KEHRV,ADK0000000416ICFPT,100
CFM0000000288KEHRV,ADK0000000416ICFPT,98
DGN0000000003LFISW,ADK0000000416ICFPT,6
DGN0000000029LFISW,ADK0000000416ICFPT,55
DGN0000000107LFISW,ADK0000000416ICFPT,9
DGN0000000133LFISW,ADK0000000416ICFPT,16
DGN0000000237LFISW,ADK0000000416ICFPT,98
DGN0000000263LFISW,ADK0000000416ICFPT,25
DGN0000000289LFISW,ADK0000000416ICFPT,28
DGN0000000315LFISW,ADK0000000416ICFPT,68
EHO0000000056MGJTX,ADK0000000416ICFPT,23
EHO0000000108MGJTX,ADK0000000416ICFPT,99
EHO0000000134MGJTX,ADK0000000416ICFPT,34
