id,day,hours
ADK0000000364ICFPT,Mo,8.0
ADK0000000364ICFPT,Tu,8.0
ADK0000000364ICFPT,We,8.0
ADK0000000364ICFPT,Th,8.0
ADK0000000364ICFPT,Fr,4.0
ADK0000000390ICFPT,Mo,8.0
ADK0000000390ICFPT,Tu,8.0
ADK0000000390ICFPT,We,8.0
ADK0000000416ICFPT,Tu,2.5
ADK0000000416ICFPT,We,2.5
ADK0000000442ICFPT,Mo,7.0
ADK0000000442ICFPT,Tu,7.0
ADK0000000442ICFPT,We,7.0
ADK0000000442ICFPT,Th,7.0
ADK0000000442ICFPT,Fr,7.0
ADK0000000468ICFPT,Mo,3.5
ADK0000000494ICFPT,Mo,2.0
ADK0000000494ICFPT,We,1.0
ADK0000000494ICFPT,Fr,1.0
ADK0000000520ICFPT,Mo,6.0
ADK0000000520ICFPT,Tu,6.0
ADK0000000520ICFPT,We,6.0
ADK0000000520ICFPT,Th,6.0
ADK0000000520ICFPT,Fr,6.0
ADK0000000546ICFPT,Th,2.0
ADK0000000572ICFPT,Mo,4.0
ADK0000000572ICFPT,Tu,8.0
ADK0000000572ICFPT,We,8.0
ADK0000000572ICFPT,Th,8.0
ADK0000000572ICFPT,Fr,4.0
ADK0000000598ICFPT,Mo,6.5
ADK0000000598ICFPT,Tu,6.5
ADK0000000598ICFPT,We,6.5
ADK0000000598ICFPT,Th,6.5
ADK0000000598ICFPT,Fr,6.5
ADK0000000624ICFPT,Mo,7.0
ADK0000000624ICFPT,Tu,7.0
ADK0000000624ICFPT,We,7.0
ADK0000000624ICFPT,Th,7.0
ADK0000000624ICFPT,Fr,7.0
ADK0000000650ICFPT,Mo,4.0
ADK0000000650ICFPT,Th,3.5
ADK0000000676ICFPT,Mo,3.5
ADK0000000702ICFPT,Tu,0.5
ADK0000000702ICFPT,Th,2.0
ADK0000000702ICFPT,Fr,1.5
ADK0000000728ICFPT,Th,0.5
ADK0000000728ICFPT,Fr,0.5
ADK0000000754ICFPT,Mo,5.5
ADK0000000754ICFPT,Tu,5.5
ADK0000000754ICFPT,We,5.5
ADK0000000754ICFPT,Th,5.5
ADK0000000754ICFPT,Fr,5.5
ADK0000000780ICFPT,Mo,4.0
ADK0000000780ICFPT,Tu,4.0
ADK0000000780ICFPT,We,4.0
ADK0000000780ICFPT,Th,4.0
ADK0000000780ICFPT,Fr,4.0
ADK0000000806ICFPT,Mo,3.5
ADK0000000806ICFPT,We,3.5
ADK0000000858ICFPT,Mo,3.0
ADK0000000858ICFPT,Tu,3.0
ADK0000000858ICFPT,We,3.0
ADK0000000858ICFPT,Th,3.0
ADK0000000858ICFPT,Fr,3.0
ADK0000000884ICFPT,Mo,7.0
ADK0000000884ICFPT,Th,7.0
BEL0000000365JDGQU,Mo,8.0
BEL0000000365JDGQU,Tu,8.0
BEL0000000365JDGQU,We,8.0
BEL0000000365JDGQU,Th,8.0
BEL0000000365JDGQU,Fr,8.0
BEL0000000391JDGQU,Mo,0.5
BEL0000000391JDGQU,We,0.5
BEL0000000391JDGQU,Th,0.5
BEL0000000417JDGQU,Mo,6.0
BEL0000000417JDGQU,Tu,6.0
BEL0000000417JDGQU,We,6.0
BEL0000000417JDGQU,Th,6.0
BEL0000000417JDGQU,Fr,6.0
BEL0000000443JDGQU,Mo,7.0
BEL0000000443JDGQU,Tu,7.0
BEL0000000443JDGQU,We,7.0
BEL0000000443JDGQU,Th,7.0
BEL0000000443JDGQU,Fr,7.0
BEL0000000495JDGQU,We,2.0
BEL0000000521JDGQU,Mo,6.5
BEL0000000521JDGQU,Tu,6.5
BEL0000000521JDGQU,We,6.5
BEL0000000521JDGQU,Th,6.5
BEL0000000521JDGQU,Fr,6.5
BEL0000000547JDGQU,Mo,6.5
BEL0000000547JDGQU,Tu,6.5
BEL0000000547JDGQU,Th,6.5
BEL0000000547JDGQU,Fr,6.5
BEL0000000573JDGQU,Tu,5.5
BEL0000000573JDGQU,We,5.5
BEL0000000573JDGQU,Th,5.5
BEL0000000573JDGQU,Fr,4.5
BEL0000000599JDGQU,Mo,6.5
BEL0000000599JDGQU,Tu,6.5
BEL0000000599JDGQU,We,6.5
BEL0000000599JDGQU,Th,6.5
BEL0000000599JDGQU,Fr,6.5
BEL0000000625JDGQU,Tu,0.5
BEL0000000651JDGQU,Tu,1.5
BEL0000000677JDGQU,Mo,3.5
BEL0000000677JDGQU,Tu,3.5
BEL0000000677JDGQU,We,3.5
BEL0000000677JDGQU,Th,3.5
BEL0000000677JDGQU,Fr,3.5
BEL0000000703JDGQU,Mo,0.5
BEL0000000703JDGQU,Tu,2.0
BEL0000000703JDGQU,We,1.0
BEL0000000703JDGQU,Th,2.0
BEL0000000703JDGQU,Fr,0.5
BEL0000000729JDGQU,Mo,3.5
BEL0000000729JDGQU,Tu,3.5
BEL0000000729JDGQU,We,3.5
BEL0000000729JDGQU,Th,3.5
BEL0000000729JDGQU,Fr,3.5
BEL0000000755JDGQU,Mo,6.0
BEL0000000755JDGQU,Tu,6.0
BEL0000000755JDGQU,We,6.0
BEL0000000755JDGQU,Th,6.0
BEL0000000755JDGQU,Fr,6.0
BEL0000000781JDGQU,Mo,7.0
BEL0000000781JDGQU,Tu,7.0
BEL0000000781JDGQU,We,7.0
BEL0000000781JDGQU,Th,7.0
BEL0000000781JDGQU,Fr,7.0
BEL0000000807JDGQU,Mo,3.5
BEL0000000807JDGQU,We,3.5
BEL0000000807JDGQU,Fr,3.5
BEL0000000859JDGQU,Tu,2.5
BEL0000000859JDGQU,Th,3.0
BEL0000000885JDGQU,Mo,7.0
BEL0000000885JDGQU,Th,7.0
CFM0000000366KEHRV,Mo,8.0
CFM0000000366KEHRV,Tu,8.0
CFM0000000366KEHRV,We,8.0
CFM0000000366KEHRV,Th,8.0
CFM0000000366KEHRV,Fr,8.0
CFM0000000392KEHRV,Mo,7.0
CFM0000000392KEHRV,Tu,7.0
CFM0000000392KEHRV,We,7.0
CFM0000000392KEHRV,Th,7.0
CFM0000000392KEHRV,Fr,7.0
CFM0000000444KEHRV,Mo,7.0
CFM0000000444KEHRV,Tu,7.0
CFM0000000444KEHRV,We,7.0
CFM0000000444KEHRV,Th,7.0
CFM0000000444KEHRV,Fr,7.0
CFM0000000470KEHRV,Mo,7.0
CFM0000000470KEHRV,Tu,7.0
CFM0000000470KEHRV,We,7.0
CFM0000000470KEHRV,Th,7.0
CFM0000000470KEHRV,Fr,7.0
CFM0000000496KEHRV,Fr,2.5
CFM0000000522KEHRV,Tu,2.0
CFM0000000522KEHRV,Th,2.0
CFM0000000548KEHRV,Tu,0.5
CFM0000000548KEHRV,Fr,3.0
CFM0000000574KEHRV,Mo,3.5
CFM0000000574KEHRV,We,1.5
CFM0000000600KEHRV,Th,1.0
CFM0000000626KEHRV,Mo,2.0
CFM0000000652KEHRV,We,2.5
CFM0000000652KEHRV,Th,0.5
CFM0000000678KEHRV,Mo,3.5
CFM0000000678KEHRV,Tu,3.5
CFM0000000678KEHRV,We,3.5
CFM0000000678KEHRV,Th,3.5
CFM0000000678KEHRV,Fr,3.5
CFM0000000704KEHRV,Mo,0.5
CFM0000000704KEHRV,We,0.5
CFM0000000730KEHRV,We,2.0
CFM0000000730KEHRV,Fr,4.0
CFM0000000756KEHRV,Tu,3.0
CFM0000000782KEHRV,Mo,1.5
CFM0000000782KEHRV,Tu,1.0
CFM0000000782KEHRV,We,1.0
CFM0000000782KEHRV,Th,2.5
CFM0000000782KEHRV,Fr,2.0
CFM0000000808KEHRV,Tu,3.5
CFM0000000808KEHRV,We,3.5
CFM0000000808KEHRV,Th,3.5
CFM0000000860KEHRV,Tu,2.0
CFM0000000860KEHRV,We,1.0
CFM0000000860KEHRV,Th,1.0
CFM0000000886KEHRV,Tu,3.5
CFM0000000886KEHRV,We,2.0
DGN0000000367LFISW,Tu,1.0
DGN0000000367LFISW,We,1.0
DGN0000000393LFISW,We,3.0
DGN0000000445LFISW,Mo,7.0
DGN0000000445LFISW,Tu,7.0
DGN0000000445LFISW,We,7.0
DGN0000000445LFISW,Th,7.0
DGN0000000445LFISW,Fr,7.0
DGN0000000471LFISW,Mo,5.5
DGN0000000471LFISW,Th,5.5
DGN0000000497LFISW,Mo,7.0
DGN0000000497LFISW,Tu,7.0
DGN0000000497LFISW,We,7.0
DGN0000000497LFISW,Th,7.0
DGN0000000497LFISW,Fr,7.0
DGN0000000523LFISW,Th,1.5
DGN0000000549LFISW,Tu,5.5
DGN0000000549LFISW,Fr,5.0
DGN0000000575LFISW,Mo,5.5
DGN0000000575LFISW,Tu,5.5
DGN0000000575LFISW,We,5.5
DGN0000000575LFISW,Th,5.5
DGN0000000575LFISW,Fr,5.5
DGN0000000601LFISW,Th,0.5
DGN0000000627LFISW,Mo,6.5
DGN0000000627LFISW,Tu,6.5
DGN0000000627LFISW,We,6.5
DGN0000000627LFISW,Th,6.5
DGN0000000627LFISW,Fr,6.5
DGN0000000653LFISW,Mo,6.5
DGN0000000653LFISW,Tu,6.5
DGN0000000653LFISW,We,6.5
DGN0000000653LFISW,Th,6.5
DGN0000000653LFISW,Fr,6.5
DGN0000000679LFISW,Mo,3.5
DGN0000000679LFISW,Tu,3.5
DGN0000000679LFISW,We,3.5
DGN0000000679LFISW,Th,3.5
DGN0000000679LFISW,Fr,3.5
DGN0000000705LFISW,Mo,7.0
DGN0000000705LFISW,Tu,7.0
DGN0000000705LFISW,We,7.0
DGN0000000705LFISW,Th,7.0
DGN0000000705LFISW,Fr,7.0
DGN0000000731LFISW,Mo,3.5
DGN0000000757LFISW,Mo,8.0
DGN0000000757LFISW,Tu,8.0
DGN0000000757LFISW,We,8.0
DGN0000000757LFISW,Th,8.0
DGN0000000757LFISW,Fr,8.0
DGN0000000783LFISW,Tu,2.5
DGN0000000783LFISW,We,1.0
DGN0000000783LFISW,Th,1.5
DGN0000000809LFISW,Mo,1.0
DGN0000000809LFISW,Th,1.0
DGN0000000861LFISW,Mo,5.5
DGN0000000861LFISW,Tu,5.5
DGN0000000861LFISW,Th,5.5
DGN0000000861LFISW,Fr,5.5
DGN0000000887LFISW,Tu,2.5
DGN0000000887LFISW,We,2.5
DGN0000000887LFISW,Th,1.5
EHO0000000368MGJTX,Mo,8.0
EHO0000000368MGJTX,Tu,8.0
EHO0000000368MGJTX,We,8.0
EHO0000000368MGJTX,Th,8.0
EHO0000000368MGJTX,Fr,3.0
EHO0000000394MGJTX,Mo,8.0
EHO0000000394MGJTX,Tu,8.0
EHO0000000394MGJTX,We,8.0
EHO0000000394MGJTX,Th,8.0
EHO0000000394MGJTX,Fr,8.0
EHO0000000446MGJTX,Mo,7.0
EHO0000000446MGJTX,Tu,7.0
EHO0000000446MGJTX,We,7.0
EHO0000000446MGJTX,Th,7.0
EHO0000000446MGJTX,Fr,7.0
EHO0000000472MGJTX,We,0.5
EHO0000000498MGJTX,We,0.5
EHO0000000524MGJTX,Fr,1.0
EHO0000000550MGJTX,Mo,0.5
EHO0000000550MGJTX,Tu,1.5
EHO0000000550MGJTX,We,0.5
EHO0000000550MGJTX,Fr,2.5
EHO0000000576MGJTX,Mo,3.5
EHO0000000576MGJTX,We,3.5
EHO0000000602MGJTX,Mo,0.5
EHO0000000602MGJTX,Tu,1.0
EHO0000000602MGJTX,We,0.5
EHO0000000602MGJTX,Th,0.5
EHO0000000654MGJTX,Mo,4.0
EHO0000000654MGJTX,Tu,8.0
EHO0000000654MGJTX,We,8.0
EHO0000000654MGJTX,Th,8.0
EHO0000000654MGJTX,Fr,4.0
EHO0000000680MGJTX,Mo,3.5
EHO0000000680MGJTX,Tu,3.5
EHO0000000680MGJTX,We,3.5
EHO0000000680MGJTX,Th,3.5
EHO0000000680MGJTX,Fr,3.5
EHO0000000706MGJTX,Mo,6.5
EHO0000000706MGJTX,Tu,6.5
EHO0000000706MGJTX,We,6.5
EHO0000000706MGJTX,Th,6.5
EHO0000000732MGJTX,Mo,3.5
EHO0000000732MGJTX,Tu,3.5
EHO0000000732MGJTX,We,3.5
EHO0000000732MGJTX,Th,3.5
EHO0000000732MGJTX,Fr,3.5
EHO0000000758MGJTX,Mo,3.5
EHO0000000758MGJTX,We,3.0
EHO0000000758MGJTX,Fr,5.0
EHO0000000784MGJTX,Mo,3.0
EHO0000000784MGJTX,Tu,3.5
EHO0000000784MGJTX,We,2.5
EHO0000000784MGJTX,Th,3.5
EHO0000000784MGJTX,Fr,2.0
EHO0000000862MGJTX,Mo,2.5
EHO0000000862MGJTX,Tu,1.5
EHO0000000862MGJTX,We,2.5
EHO0000000862MGJTX,Th,1.5
EHO0000000888MGJTX,Mo,7.0
EHO0000000888MGJTX,Th,7.0
FIP0000000369NHKUY,Mo,6.0
FIP0000000369NHKUY,Tu,6.0
FIP0000000369NHKUY,We,6.0
FIP0000000369NHKUY,Th,6.0
FIP0000000369NHKUY,Fr,6.0
FIP0000000395NHKUY,Mo,8.0
FIP0000000395NHKUY,Tu,8.0
FIP0000000395NHKUY,We,8.0
FIP0000000395NHKUY,Th,8.0
FIP0000000395NHKUY,Fr,8.0
FIP0000000447NHKUY,Mo,7.0
FIP0000000447NHKUY,Tu,7.0
FIP0000000447NHKUY,We,7.0
FIP0000000447NHKUY,Th,7.0
FIP0000000447NHKUY,Fr,7.0
FIP0000000473NHKUY,Th,1.0
FIP0000000499NHKUY,Mo,6.0
FIP0000000499NHKUY,Tu,6.0
FIP0000000499NHKUY,We,6.0
FIP0000000499NHKUY,Th,6.0
